oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Katsina,"Midway Boulders > Midway > First Gully Boulders > San Francisco Peak's > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/115361973/katsina,4.0,-1,Boulder,V8,1,15,35.30452,-111.70476
"Emerald Arete","Tasty Pancho > First Gully Boulders > San Francisco Peak's > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/114810126/emerald-arete,4.0,-1,Boulder,V3,1,35,35.30312,-111.70367
"Viva La Revolucion","Bikini Wall > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/114221273/viva-la-revolucion,4.0,-1,Boulder,V8,1,,34.88972,-111.73329
"Pregnancy Brain","Tainted Gardens > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/113696988/pregnancy-brain,4.0,-1,Boulder,V6,1,,35.06765,-111.71969
"Loads of Fun","Pillar Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107402703/loads-of-fun,4.0,-1,Boulder,"V4 PG13",1,20,34.87241,-111.75363
"Custer's Corner","The BreezeBlocks > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/111491794/custers-corner,4.0,-1,Boulder,V5,1,15,34.87618,-111.72299
"Human Wasteland","Water Front Area > West Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107703323/human-wasteland,4.0,-1,Boulder,"V6+ R",1,20,35.0661,-111.6999
"DRL Drive Right","New Outfromunder Boulders > Thumb Butte Boulders > In-Town Bouldering > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/110159957/drl-drive-right,4.0,-1,Boulder,"V9 PG13",1,15,34.5493,-112.5232
"Wave Traverse","The Wave Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106120371/wave-traverse,2.7,-1,Boulder,"V0 PG13",1,15,34.46757,-112.43804
"The Girl from Ipanema","Mars Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107281460/the-girl-from-ipanema,3.8,-1,Boulder,V11-,1,25,35.0819,-111.601
"Last Day Of Summer","DWS West Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106539462/last-day-of-summer,3.5,-1,Boulder,V3+,1,20,34.96125,-110.65969
"Frictionless Sex Drive","Frictionless Sex Drive > Western Front > West Stronghold Bouldering > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/116549265/frictionless-sex-drive,4.0,-1,Boulder,V8,1,20,31.90056,-110.03283
